"Species Latin Name","Sample productive name","Sample Description","Sample Initial Name","Sample Analysis Name","Group Name"
Sus_scrofa,m_2_1_3,样本信息表,m_2_1_3,DLYM105_3,DLYM105
Sus_scrofa,m_2_1_4,样本信息表,m_2_1_4,DLYM105_4,DLYM105
Sus_scrofa,m_2_1_5,样本信息表,m_2_1_5,DLYM105_5,DLYM105
Sus_scrofa,m_2_1_6,样本信息表,m_2_1_6,DLYM105_6,DLYM105
Sus_scrofa,m_2_2_1,样本信息表,m_2_2_1,TFBM105_1,HZM105
Sus_scrofa,m_2_2_2,样本信息表,m_2_2_2,TFBM105_2,HZM105
Sus_scrofa,m_2_2_3,样本信息表,m_2_2_3,TFBM105_3,HZM105
Sus_scrofa,m_2_2_4,样本信息表,m_2_2_4,TFBM105_4,HZM105
Sus_scrofa,m_2_2_5,样本信息表,m_2_2_5,TFBM105_5,HZM105
Sus_scrofa,m_2_2_6,样本信息表,m_2_2_6,TFBM105_6,HZM105
Sus_scrofa,m_3_1_1,样本信息表,m_3_1_1,DLYM135_1,DLYM135
Sus_scrofa,m_3_1_2,样本信息表,m_3_1_2,DLYM135_2,DLYM135
Sus_scrofa,m_3_1_3,样本信息表,m_3_1_3,DLYM135_3,DLYM135
Sus_scrofa,m_3_1_4,样本信息表,m_3_1_4,DLYM135_4,DLYM135
Sus_scrofa,m_3_1_5,样本信息表,m_3_1_5,DLYM135_5,DLYM135
Sus_scrofa,m_3_1_6,样本信息表,m_3_1_6,DLYM135_6,DLYM135
Sus_scrofa,L_1_1_1,样本信息表,L_1_1_1,DLYL75_1,DLYL75
Sus_scrofa,L_1_1_2,样本信息表,L_1_1_2,DLYL75_2,DLYL75
Sus_scrofa,L_1_1_3,样本信息表,L_1_1_3,DLYL75_3,DLYL75
Sus_scrofa,L_1_1_4,样本信息表,L_1_1_4,DLYL75_4,DLYL75
Sus_scrofa,L_1_1_5,样本信息表,L_1_1_5,DLYL75_5,DLYL75
Sus_scrofa,L_1_1_6,样本信息表,L_1_1_6,DLYL75_6,DLYL75
Sus_scrofa,L_1_2_1,样本信息表,L_1_2_1,TFBL75_1,HZL75
Sus_scrofa,L_1_2_2,样本信息表,L_1_2_2,TFBL75_2,HZL75
Sus_scrofa,L_1_2_3,样本信息表,L_1_2_3,TFBL75_3,HZL75
Sus_scrofa,L_1_2_4,样本信息表,L_1_2_4,TFBL75_4,HZL75
Sus_scrofa,L_1_2_5,样本信息表,L_1_2_5,TFBL75_5,HZL75
Sus_scrofa,L_1_2_6,样本信息表,L_1_2_6,TFBL75_6,HZL75
Sus_scrofa,L_2_1_1,样本信息表,L_2_1_1,DLYL105_1,DLYL105
Sus_scrofa,L_2_1_2,样本信息表,L_2_1_2,DLYL105_2,DLYL105
Sus_scrofa,L_2_1_3,样本信息表,L_2_1_3,DLYL105_3,DLYL105
Sus_scrofa,L_2_1_4,样本信息表,L_2_1_4,DLYL105_4,DLYL105
Sus_scrofa,L_2_1_5,样本信息表,L_2_1_5,DLYL105_5,DLYL105
Sus_scrofa,L_2_1_6,样本信息表,L_2_1_6,DLYL105_6,DLYL105
Sus_scrofa,L_2_2_1,样本信息表,L_2_2_1,TFBL105_1,HZL105
Sus_scrofa,L_2_2_2,样本信息表,L_2_2_2,TFBL105_2,HZL105
Sus_scrofa,L_2_2_3,样本信息表,L_2_2_3,TFBL105_3,HZL105
Sus_scrofa,L_2_2_4,样本信息表,L_2_2_4,TFBL105_4,HZL105
Sus_scrofa,L_2_2_5,样本信息表,L_2_2_5,TFBL105_5,HZL105
Sus_scrofa,L_2_2_6,样本信息表,L_2_2_6,TFBL105_6,HZL105
Sus_scrofa,L_3_1_1,样本信息表,L_3_1_1,DLYL135_1,DLYL135
Sus_scrofa,L_3_1_2,样本信息表,L_3_1_2,DLYL135_2,DLYL135
Sus_scrofa,L_3_1_3,样本信息表,L_3_1_3,DLYL135_3,DLYL135
Sus_scrofa,L_3_1_4,样本信息表,L_3_1_4,DLYL135_4,DLYL135
Sus_scrofa,L_3_1_5,样本信息表,L_3_1_5,DLYL135_5,DLYL135
Sus_scrofa,L_3_1_6,样本信息表,L_3_1_6,DLYL135_6,DLYL135
